idx,feature,sym,code,category
569,dpq037,dpq,037,Computer & Digital - Cell Phone & Acc.
570,dpq038,dpq,038,Computer & Digital - Computer
571,dpq039,dpq,039,Computer & Digital - Digital
572,dpq040,dpq,040,Computer & Digital - PC & Video Game
573,dpq041,dpq,041,Domestic Travel - Accommodation_Boutique
574,dpq042,dpq,042,Domestic Travel - Accommodation_Hotel
575,dpq043,dpq,043,Domestic Travel - Accommodation_Instant Pension
576,dpq044,dpq,044,Domestic Travel - Accommodation_Pension
577,dpq045,dpq,045,Domestic Travel - Accommodation_Resort
578,dpq046,dpq,046,Domestic Travel - Accommodation_Sub Pension
579,dpq047,dpq,047,Domestic Travel - Air/Transportation
580,dpq048,dpq,048,Domestic Travel - Car Rental
581,dpq049,dpq,049,Domestic Travel - Package
582,dpq050,dpq,050,Domestic Travel - Ticket/Pass
583,dpq051,dpq,051,Electronics - AV
584,dpq052,dpq,052,Electronics - Beauty Appliance
585,dpq053,dpq,053,Electronics - Health Appliance
586,dpq054,dpq,054,Electronics - Living Appliance
587,dpq055,dpq,055,Electronics - Seasonal Appliance
588,dpq056,dpq,056,"Fresh, Cold & Frozen - Cold & Frozen Food"
589,dpq057,dpq,057,"Fresh, Cold & Frozen - Fresh"
590,dpq058,dpq,058,Home - Bath Acc. & Household Cleaning
591,dpq059,dpq,059,Home - Bedding & Handcraft & Curtain
592,dpq060,dpq,060,Home - Furniture & Storage
593,dpq061,dpq,061,Home - Home Deco
594,dpq062,dpq,062,Home - Tools & Home Improvement
595,dpq063,dpq,063,Household - Detergent
596,dpq064,dpq,064,Household - Tissue
597,dpq065,dpq,065,Kitchen - Cookware
598,dpq066,dpq,066,Kitchen - Food Storage
599,dpq067,dpq,067,Kitchen - Kitchen Accessories
600,dpq068,dpq,068,Kitchen - Kitchen Appliance
601,dpq069,dpq,069,Kitchen - Kitchen Disposable
602,dpq070,dpq,070,Kitchen - Tableware
603,dpq071,dpq,071,Kitchen - Tools & Gadgets
604,dpq072,dpq,072,Meal & Healthy - Healthy food
